"id","name","description","startdate","enddate","groups","shortname"
"5","Reformation and Jihad Front","In early 2007, the Mujahideen Army (MA), the Islamic Army in Iraq (IAI), Ansar al-Islam (AI) and Ansar al-Sunna Sharia (AS Sharia) formed the Jihad and Reform Front (RJF) to oppose AQI's Islamic State of Iraq in response to ISI's targeting of civilians and members of MA, IAI AI, and AS Sharia.","2007-01-01","0000-00-00","a:3:{i:0;s:2:""""13"""";i:1;s:1:""""3"""";i:2;s:2:""""11"""";}","RJF"
"9","Mujahideen Shura Council","In January 2006, Al Qaeda in Iraq (AQI) joined with five other groups to form the Mujahideen Shura Council (MSC) in order to better coordinate attacks against U.S. Coalition forces and to improve AQI's image in Iraq by officially partnering with Iraqi groups.","2006-01-01","2006-10-01","a:2:{i:0;s:1:""""1"""";i:1;s:2:""""15"""";}","MSC"
"17","Palestinian Liberation Organization","The Palestinian Liberation Organization (PLO) seeks the creation of a Palestinian state, initially following Abdul Nasser's """"pan-Arab"""" ideology. The PLO has enjoyed observer status in the United Nations since 1974, and is seen by both the Arab League and United Nations as the sole legitimate representative of the Palestinian people. It was considered a terrorist entity by the United States until the 1991 Madrid Conference. The leader of the PLO, until 2004, was Yasser Arafat. He was succeeded by Mahmoud Abbas. There is a strong connection between the PLO and Hamas, both politically and ideologically.","1964-05-28","0000-00-00",,"PLO"
"15","The Political Council for the Iraqi Resistance","In November 2007, Hamas in Iraq, along with parts of the Islamic Army in Iraq (IAI), the Mujahideen Army, Ansar al-Sunna Shariah, the Fatiheen Army, and the Islamic Front for the Iraqi Resistance, formed the Political Council for the Iraqi Resistance (IRPC) in opposition to AQI's Islamic State of Iraq (ISI).","2007-11-01","0000-00-00",,"IRPC"
"19","Al Qaeda","Al Qaeda is the largest and most extensive Islamic militant organization in the world. Founded by Osama bin Laden as a part of the anti-Soviet mujahideen of the 1980s, al Qaeda seeks the liberation of the Muslim world from foreign influence, and has carried out attacks against thousands of targets throughout the Middle East, Asia, Europe, North America, and Africa. Al Qaeda has provided support or allied with dozens of organizations over the past quarter-century, most notably the Taliban, Haqqani Network, and Abu Sayyaf. Through this support and training of militants, al Qaeda has emerged as one of the most violent militant organizations in the world.","1988-08-11","0000-00-00",,"AQ"
"21","Islamic State of Iraq","The Islamic State of Iraq is an umbrella group for a number of Iraqi insurgency groups. The organization is comprised of a number of militant organizations, though the majority of these are independent from al Qaeda. Most notably, al Qaeda in Iraq (AQI) aligned with the ISI following its creation, separating itself from the Mujahideen Shura Council.","0000-00-00","0000-00-00",,"ISI"
"23","Simon Bolivar Guerrilla Coordinating Board","The Simon Bolivar Guerrilla Coordinating Group was created in 1987 by leftist revolutionary groups in Colombia in order to coordinate attacks and government negotiations. However, as the leftist groups began to diverge tactically and ideologically, the need for a coordinating board weakened. The CGSV disbanded in the early 1990's; however, many of the organizations it hosted are still active today.","1987-00-00","1991-00-00",,"CGSB"
"25","United Jihad Council","Established in the summer of 1994, the UJC/MJC aims to fight Indian rule in Kashmir. Several of the members are considered terrorist organizations by the United States and/or the United Nations The group seeks to unify and strengthen the fighters against the Indian control of Kashmir, making the distribution of resources, such as finances and weapons, more streamlined. Among unlisted members are:  Harakat-ul-Ansar, Jamiat-ul-Mujahideen, Al-Jihad, Al-Barq, Al-Badr, Ikhwan-ul-Mussalmin, Tehrik-ul-Mujahideen, and Tehrik-e-Jihad.","1994-05-00","0000-00-00",,"UJC"
"27","Islamic Front","The Islamic Front was an umbrella organization formed by seven groups (Ahrar al-Sham, Suquor al-Sham, the Tawhid Brigade of Aleppo, Jaysh al-Islam, Liwa al-Haqq, the Kurdish Islamic Front (KIF), and Ansar al-Sham) in November 2013 to overthrow the Assad Regime and establish an Islamic government. At its peak, the organization had 40,000 to 70,000 fighters, and represented the largest alliance of opposition forces that has existed in the Syrian conflict. However, the organization’s constituent groups drifted apart in mid-2014 due to disagreements between the Islamic Front’s most powerful members: Ahrar al-Sham and Jaysh al-Islam. The umbrella group is now defunct, although Liwa al-Tawhid and other former Islamic Front battalions briefly referred to themselves as an independent group known as the Islamic Front before forming the Levantine Front in the Aleppo governorate.","2013-11-22","2014-06-00",,"IF"
"29","Syrian Islamic Front","Ahrar al-Sham formed the Syrian Islamic Front (SIF) umbrella group in December 2012 in order to unite Syrian Islamist opposition forces and pursue a government that implements Shariah law. The SIF did not  come under the command of the Free Syrian Army’s Supreme Military Council (SMC), but it regularly coordinated military maneuvers with SMC affiliated brigades. In January 2013, Ahrar al-Sham absorbed three smaller SIF groups (Harakat al-Fajr al-Islamiya, Jamaat al-Taliaa al-Islamiya, and Kataeb al-Iman al-Muqatila) and became the SIF’s largest member. Ahrar al-Sham dissolved the SIF in November 2013 in order to form the Islamic Front.","2012-12-00","2013-11-00",,"SIF"
