id,type,group1,group2,date,description
1633,riv,61,113,2010-02-18,"Hizbul Islam fighters attacked the Somali border town of Dhobley, successfully ousting Al Shabaab fighters and gaining control of the town. "
1635,all,61,113,2009-02-22,"Hizbul Islam and Al Shabaab conducted a joint attack on African Union (AU) peacekeepers, using two suicide bombers against an AU base in Mogadishu."
1475,all,5,3,2005-00-00,"Although the Mujahideen Army and the Islamic Army in Iraq (IAI) had worked together since 2004, they did not officially announce their operational cooperation until 2005."
1311,all,75,1,2014-02-00,"Despite their ideological differences, the JRTN and IS worked together to capture Fallujah in February 2014. Subsequently, the JRTN played a critical role in IS's conquest of Mosul on June 10, 2014. "
1483,riv,13,1,2014-05-00,AI publically declared war on IS in May 2014.  Throughout May the two groups purportedly clashed around the city of Baquba just north of Baghdad.
1481,all,13,1,2012-11-25,"AI claimed responsibility for the suicide bombing of a Shiite militia camp in the town of Rabia, Iraq. In a statement released shortly after the attack, AI claimed that the Islamic State in Iraq (ISI), the successor of AQI and predecessor to IS, had participated in the operation. "
287,riv,1,9,2007-02-00,"In 2007 1920s RB leader Harith al-Dari was killed in a AQI suicide bombing and AQI carried out a large-scale chemical weapons attack in Fallujah.  Outraged by these events, the 1920s Brigades shifted its focus from fighting U.S. forces to fighting AQI. "
289,mer,23,19,2009-01-20,"Al-Qaeda in Yemen merged with Al Qaeda-affiliated Saudi militants. In February 22, 2009 al-Qaeda's deputy leader Ayman al-Zawahiri released a statement recognizing the consolidation."
1471,all,361,143,2007-00-00,"AAH and KH have been allied since their inception.  Both groups are funded by the Iranian government through the Quds Force, are under the supervision of Qasem Soleimani (the commander of the Quds Force), and have cooperated militarily on several occasions.  The AAH and KH are the two most powerful 'Special Groups,' the U.S. name for Iraqi Shiite groups affiliated with the Iranian government."
19,mer,1,15,2006-01-01,"AQI forms the Mujahidin Shura Council (MSC), an umbrella organization to represent Iraq\&#039;s jihadist groups.  Several smaller Iraqi jihadist groups join the council, like the Victorious Sect Group.  AQI announces some unknown groups as members of the MSC, likely to create a perception broad membership within the MSC; the move raised doubts as to the council\&#039;s legitimacy as anything other than an AQI front."
