"id","map_id","group_id","min_zoom","max_zoom","position"
"647","1","21","1","1","13"
"645","1","19","1","1","12"
"643","1","17","1","1","11"
"641","1","15","0","1","10"
"639","1","1","0","1","9"
"637","1","3","0","1","8"
"635","1","5","0","1","7"
"633","1","13","0","1","6"
"631","1","11","0","1","5"
"629","1","9","0","1","4"
"627","1","27","0","1","3"
"625","1","25","0","1","2"
"623","1","31","0","1","1"
"621","1","29","0","1","0"
"11349","27","149","0","0","0"
"14795","3","575","0","1","7"
"14801","3","27","0","1","10"
"14803","3","31","0","1","11"
"14805","3","593","0","1","12"
"14799","3","595","0","1","9"
"14797","3","585","0","1","8"
"14711","31","21","0","0","9"
"14695","31","403","0","0","1"
"14697","31","397","0","0","2"
"14699","31","413","0","0","3"
"14701","31","255","0","0","4"
"14703","31","373","0","0","5"
"14705","31","375","0","0","6"
"14707","31","371","0","0","7"
"14709","31","377","0","0","8"
"11455","29","87","0","0","1"
"11457","29","119","0","0","2"
"11459","29","91","0","0","3"
"11465","29","407","0","0","6"
"11453","29","89","0","0","0"
"15177","21","265","0","0","0"
"11901","35","433","0","1","32"
"15071","41","553","0","0","2"
"15069","41","65","0","0","1"
"15107","41","617","0","0","20"
"15109","41","251","0","0","21"
"15067","41","255","0","0","0"
"15111","41","152","0","0","22"
"14785","3","587","0","1","2"
"12651","11","21","0","0","0"
"14783","3","589","0","1","1"
"14781","3","591","0","1","0"
"14241","45","547","0","0","3"
"14243","45","637","0","0","4"
"14245","45","65","0","0","5"
"14247","45","437","0","0","6"
"14249","45","643","0","0","7"
"14843","3","435","0","1","31"
"14841","3","627","0","1","30"
"11351","27","599","0","0","1"
"14807","3","577","0","1","13"
"649","1","23","1","1","14"
"14809","3","609","1","1","14"
"14811","3","13","0","1","15"
"14813","3","11","0","1","16"
"14815","3","5","0","1","17"
"14817","3","3","0","1","18"
"14819","3","29","0","1","19"
"14821","3","9","0","1","20"
"14823","3","75","0","1","21"
"14825","3","1","0","1","22"
"11361","27","601","0","0","6"
